"Year"	"Level"	"Grade"	"District Name"	"District Number"	"School Name"	"School Number"	"Agency Type"	"Agency Key"	"CESA"	"Total Enrollment-WSAS"	"Item Type"	"Subject"	"Subject Code "	"Number Tested on WKCE in Subject"	"Percent of Enrolled who were Tested on WKCE in Subject"	"Standard/Framework Name"	"Standard/Framework Code"	"Filler"	"Item Number"	"Depth of Knowledge"	"Average(SR) Total(CR)"	"Number of Responses(SR) Points Possible(CR)"	"Correct Response"	"State PCNT Correct Response(SR) State Avg(CR)"	"CESA PCNT Correct Response(SR) CESA Avg(CR)"	"District PCNT Correct Response(SR) District Avg(CR)"	"School PCNT Correct Response(SR) School Avg(CR)"	"Difference:  Current Level Minus State(SR)"	"Difference: Current Level Minus CESA(SR)"	"Difference: Current Level Minus District(SR)"	"Number Answering A or F (1)(SR) 0 Points(CR)"	"Number Answering B or G (2)(SR) 1 Point(CR)"	"Number Answering C or H (3)(SR) 2 Points(CR)"	"Number Answering D or J (4)(SR) 3 Points(CR)"	"Number Answering E or K (5)(SR) 4 Points(CR)"	"Number left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) Number 6 Points(CR)"	"Unused(SR) Number Left Blank or Erased(CR)"	"Unused(SR) Number Off Topic or Illegible(CR)"	"Percent Answering A or F (1)(SR) 0 Points(CR)"	"Percent Answering B or G (2)(SR) 1 Point(CR)"	"Percent Answering C or H (3)(SR) 2 Points(CR)"	"Percent Answering D or J (4)(SR) 3 Points(CR)"	"Percent Answering E or K (5)(SR) 4 Points(CR)"	"Percent Left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) PCNT 6 Points(CR)"	"Unused(SR) PCNT Left Blank or Erased(CR)"	"Unused(SR) PCNT Off Topic or Illegible(CR)"
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.4"	" 0.4"	"-0.1"		" 0.0"	"   31"	"   18"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 63"	" 37"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 0.9"	" 0.9"	"-0.1"		" 0.0"																		
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.9"	" 0.9"	"+0.1"		" 0.0"	"   17"	"   17"	"   14"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 35"	" 35"	" 29"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.9"	" 0.9"	"+0.1"		" 0.0"																		
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"	"    8"	"   40"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 16"	" 82"	"  0"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WHEATLAND J1"	"6412"	"WHEATLAND CENTE"	"0020"	"04"	"02589"	"02"	50	"CR"	"Mathematics"		49	98	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Reading"		150	99	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.6"	" 1.6"	"+0.1"		" 0.0"	"   25"	"   38"	"   61"	"   26"	"    0"	"    0"	"    0"	"    0"	"    0"	" 17"	" 25"	" 41"	" 17"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Reading"		150	99	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.6"	" 1.6"	"+0.1"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Reading"		150	99	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"	"   97"	"   42"	"    9"	"    1"	"    0"	"    0"	"    0"	"    1"	"    0"	" 65"	" 28"	"  6"	"  1"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Reading"		150	99	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.7"	" 0.7"	"+0.1"		" 0.0"	"   48"	"  101"	"    2"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 32"	" 67"	"  1"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.3"	" 1.3"	" 0.0"		" 0.0"	"   38"	"   29"	"   84"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 25"	" 19"	" 56"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.4"	" 1.4"	"+0.1"		" 0.0"	"   33"	"   21"	"   97"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 22"	" 14"	" 64"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 3.4"	" 3.4"	"+0.1"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.5"	" 0.5"	" 0.0"		" 0.0"	"   71"	"   79"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 47"	" 52"	"  0"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.6"	" 0.6"	"+0.1"		" 0.0"	"   53"	"   97"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 35"	" 64"	"  0"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 1.2"	" 1.2"	"+0.2"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.9"	" 0.9"	"+0.1"		" 0.0"	"   57"	"   51"	"   43"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 38"	" 34"	" 28"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.9"	" 0.9"	"+0.1"		" 0.0"																		
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"	"   38"	"  113"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 25"	" 75"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WHITEWATER"	"6461"	"WHITEWATER MID"	"0020"	"04"	"04153"	"02"	151	"CR"	"Mathematics"		151	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Reading"		50	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.5"	" 1.5"	" 0.0"		" 0.0"	"    7"	"   14"	"   25"	"    3"	"    0"	"    0"	"    0"	"    1"	"    0"	" 14"	" 28"	" 50"	"  6"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Reading"		50	100	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.5"	" 1.5"	" 0.0"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Reading"		50	100	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.3"	" 0.3"	"-0.3"		" 0.0"	"   34"	"   14"	"    0"	"    1"	"    0"	"    0"	"    0"	"    1"	"    0"	" 68"	" 28"	"  0"	"  2"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Reading"		50	100	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.3"	" 0.3"	"-0.3"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.5"	" 0.5"	"-0.1"		" 0.0"	"   25"	"   25"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 50"	" 50"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.3"	" 1.3"	" 0.0"		" 0.0"	"    9"	"   13"	"   27"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 18"	" 26"	" 54"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.1"	" 1.1"	"-0.2"		" 0.0"	"   15"	"   11"	"   23"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 30"	" 22"	" 46"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 3.0"	" 3.0"	"-0.3"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.3"	" 0.3"	"-0.2"		" 0.0"	"   33"	"   17"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 66"	" 34"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.4"	" 0.4"	"-0.1"		" 0.0"	"   29"	"   21"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 58"	" 42"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 0.8"	" 0.8"	"-0.2"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.7"	" 0.7"	"-0.1"		" 0.0"	"   23"	"   20"	"    7"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 46"	" 40"	" 14"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.7"	" 0.7"	"-0.1"		" 0.0"																		
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"	"   10"	"   40"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 20"	" 80"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WILLIAMS BAY"	"6482"	"WILLIAMS BAY JR"	"0030"	"04"	"04246"	"02"	50	"CR"	"Mathematics"		50	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Reading"		59	98	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.6"	" 1.6"	"+0.1"		" 0.0"	"   10"	"   14"	"   24"	"   10"	"    0"	"    0"	"    0"	"    1"	"    0"	" 17"	" 24"	" 41"	" 17"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Reading"		59	98	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.6"	" 1.6"	"+0.1"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Reading"		59	98	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.6"	" 0.6"	" 0.0"		" 0.0"	"   28"	"   23"	"    7"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	" 47"	" 39"	" 12"	"  0"	"  0"	"  0"	"  0"	"  0"	"  2"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Reading"		59	98	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.6"	" 0.6"	" 0.0"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.9"	" 0.9"	"+0.3"		" 0.0"	"   11"	"   38"	"    9"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 19"	" 64"	" 15"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.5"	" 1.5"	"+0.2"		" 0.0"	"    9"	"    7"	"   42"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 15"	" 12"	" 71"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.7"	" 1.7"	"+0.4"		" 0.0"	"    3"	"    6"	"   48"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	"  5"	" 10"	" 81"	"  0"	"  0"	"  0"	"  0"	"  3"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 4.2"	" 4.2"	"+0.9"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.7"	" 0.7"	"+0.2"		" 0.0"	"   18"	"   41"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 31"	" 69"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.4"	" 0.4"	"-0.1"		" 0.0"	"   33"	"   26"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 56"	" 44"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 1.1"	" 1.1"	"+0.1"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 1.1"	" 1.1"	"+0.3"		" 0.0"	"   16"	"   24"	"   19"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 27"	" 41"	" 32"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 1.1"	" 1.1"	"+0.3"		" 0.0"																		
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"	"   14"	"   45"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 24"	" 76"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"WIS HGTS"	"0469"	"WI HEIGHTS MI"	"0080"	"04"	"26957"	"02"	60	"CR"	"Mathematics"		59	98	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Reading"		71	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 2.1"	" 2.1"	"+0.6"		" 0.0"	"    6"	"    3"	"   38"	"   24"	"    0"	"    0"	"    0"	"    0"	"    0"	"  8"	"  4"	" 54"	" 34"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Reading"		71	100	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 2.1"	" 2.1"	"+0.6"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Reading"		71	100	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.8"	" 0.8"	"+0.2"		" 0.0"	"   33"	"   22"	"   13"	"    3"	"    0"	"    0"	"    0"	"    0"	"    0"	" 46"	" 31"	" 18"	"  4"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Reading"		71	100	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.8"	" 0.8"	"+0.2"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.7"	" 0.7"	"+0.1"		" 0.0"	"   21"	"   49"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 30"	" 69"	"  0"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.5"	" 1.5"	"+0.2"		" 0.0"	"   14"	"    4"	"   52"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 20"	"  6"	" 73"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.4"	" 1.4"	"+0.1"		" 0.0"	"   13"	"   12"	"   45"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 18"	" 17"	" 63"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 3.6"	" 3.6"	"+0.3"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.4"	" 0.4"	"-0.1"		" 0.0"	"   38"	"   31"	"    0"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 54"	" 44"	"  0"	"  0"	"  0"	"  0"	"  0"	"  3"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.5"	" 0.5"	" 0.0"		" 0.0"	"   34"	"   37"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 48"	" 52"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 1.0"	" 1.0"	" 0.0"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 1.1"	" 1.1"	"+0.3"		" 0.0"	"   18"	"   25"	"   28"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 25"	" 35"	" 39"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 1.1"	" 1.1"	"+0.3"		" 0.0"																		
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"	"   19"	"   52"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 27"	" 73"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"YORKVILLE J2"	"6748"	"YORKVILLE EL"	"0020"	"04"	"03748"	"02"	71	"CR"	"Mathematics"		71	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"																		
2014	3	"07"	"ARGYLE"	"0161"	"ARGYLE HI"	"0040"	"04"	"05953"	"03"	25	"CR"	"Reading"		25	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.5"	" 1.5"	" 0.0"		" 0.0"	"    6"	"    5"	"    9"	"    5"	"    0"	"    0"	"    0"	"    0"	"    0"	" 24"	" 20"	" 36"	" 20"	"  0"	"  0"	"  0"	"  0"	"  0"
